,CodigoParlamentar,NomeParlamentar,TotalBaseTreino,TotalBaseVerdade,AcertosUnigramaLema,PercentualUnigramaLema,PercentualCoberturaUnigramaLema,AcertosBigramaLema,PercentualBigramaLema,PercentualCoberturaBigramaLema,AcertosUnigramaNormal,PercentualUnigramaNormal,PercentualCoberturaUnigramaNormal,AcertosBigramaNormal,PercentualBigramaNormal,PercentualCoberturaBigramaNormal,AcertosBM25Lema,PercentualBM25Lema,PercentualBM25CoberturaLemaAcertosBM25Normal,PercentualBM25Normal,PercentualCoberturaBM25Normal,AcertosAleatorios,PercentualAleatorios,PercentualAleatoriosCobertura,PercentualBM25CoberturaLema,AcertosBM25Normal
0,5672,Alan Rick,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.13,8.33,1.0,2.08,8.33,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5982,Alessandro Vieira,273.0,53.0,2.0,4.0,3.77,0.0,0.0,0.0,1.0,2.04,1.89,1.0,2.04,1.89,4.0,8.7,,7.14,5.66,2.0,4.0,3.77,7.55,3.0
2,6358,Ana Paula Lobato,20.0,15.0,1.0,2.0,6.67,0.0,0.0,0.0,1.0,2.0,6.67,1.0,2.13,6.67,0.0,0.0,,0.0,0.0,1.0,2.0,6.67,0.0,0.0
3,5967,Angelo Coronel,119.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.04,,0.0,0.0,0.0,0.0,0.0,8.33,0.0
4,6009,Astronauta Marcos Pontes,32.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.38,7.14,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6350,Augusta Brito,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,4.26,6.9,0.0,0.0
6,4639,Beto Faro,11.0,9.0,2.0,4.17,22.22,4.0,8.33,44.44,2.0,4.35,22.22,3.0,6.52,33.33,3.0,6.12,,8.7,44.44,0.0,0.0,0.0,33.33,4.0
7,5936,Carlos Portinho,88.0,31.0,3.0,6.12,9.68,3.0,6.82,9.68,3.0,6.52,9.68,2.0,4.44,6.45,1.0,2.04,,2.13,3.23,0.0,0.0,0.0,3.23,1.0
8,5990,Carlos Viana,183.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,2.27,0.0,0.0
9,470,Chico Rodrigues,109.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.13,7.69,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5973,Cid Gomes,69.0,24.0,1.0,2.17,4.17,1.0,2.22,4.17,1.0,2.17,4.17,1.0,2.17,4.17,0.0,0.0,,0.0,0.0,1.0,2.17,4.17,0.0,0.0
11,739,Ciro Nogueira,183.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.08,,0.0,0.0,0.0,0.0,0.0,6.67,0.0
12,6337,Cleitinho,12.0,16.0,1.0,2.08,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,475,Confúcio Moura,120.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.22,6.67,0.0,0.0
14,6335,Damares Alves,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.13,3.23,0.0,0.0,0.0,2.0,4.08,,2.17,3.23,0.0,0.0,0.0,6.45,1.0
15,5998,Daniella Ribeiro,99.0,14.0,0.0,0.0,0.0,1.0,2.13,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.04,7.14,0.0,0.0
16,3830,Davi Alcolumbre,105.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.04,14.29,0.0,0.0
17,5793,Dr. Hiran,30.0,19.0,2.0,4.35,10.53,0.0,0.0,0.0,3.0,6.67,15.79,0.0,0.0,0.0,2.0,4.0,,2.5,5.26,1.0,2.17,5.26,10.53,1.0
18,4994,Eduardo Braga,206.0,16.0,2.0,4.55,12.5,2.0,4.55,12.5,2.0,4.35,12.5,3.0,6.38,18.75,3.0,6.25,,7.5,18.75,0.0,0.0,0.0,18.75,3.0
19,5976,Eduardo Girão,184.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.44,,2.44,3.03,1.0,2.38,3.03,3.03,1.0
20,3777,Eduardo Gomes,101.0,42.0,1.0,2.0,2.38,1.0,2.0,2.38,1.0,2.0,2.38,1.0,2.0,2.38,0.0,0.0,,4.76,4.76,4.0,8.0,9.52,0.0,2.0
21,4642,Efraim Filho,23.0,14.0,1.0,2.08,7.14,1.0,2.04,7.14,2.0,4.26,14.29,1.0,2.08,7.14,0.0,0.0,,0.0,0.0,1.0,2.08,7.14,0.0,0.0
22,5718,Eliziane Gama,225.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.52,,5.56,7.69,0.0,0.0,0.0,11.54,2.0
23,22,Esperidião Amin,236.0,52.0,1.0,2.0,1.92,1.0,2.17,1.92,1.0,2.0,1.92,1.0,2.22,1.92,2.0,4.26,,2.33,1.92,1.0,2.0,1.92,3.85,1.0
24,5953,Fabiano Contarato,440.0,50.0,1.0,2.27,2.0,1.0,2.22,2.0,1.0,2.27,2.0,1.0,2.22,2.0,2.0,4.17,,4.65,4.0,2.0,4.55,4.0,4.0,2.0
25,5917,Fernando Dueire,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,6345,Fernando Farias,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,345,Flávio Arns,370.0,25.0,0.0,0.0,0.0,1.0,2.38,4.0,1.0,2.63,4.0,2.0,4.55,8.0,2.0,4.35,,4.35,8.0,1.0,2.56,4.0,8.0,2.0
28,5894,Flávio Bolsonaro,57.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,6008,Giordano,23.0,16.0,1.0,2.08,6.25,1.0,2.04,6.25,1.0,2.13,6.25,2.0,4.08,12.5,0.0,0.0,,0.0,0.0,1.0,2.08,6.25,0.0,0.0
30,6341,Hamilton Mourão,26.0,35.0,0.0,0.0,0.0,1.0,2.27,2.86,1.0,2.27,2.86,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,5008,Humberto Costa,416.0,53.0,0.0,0.0,0.0,2.0,4.08,3.77,1.0,2.08,1.89,0.0,0.0,0.0,1.0,2.04,,0.0,0.0,0.0,0.0,0.0,1.89,0.0
32,5385,Irajá,85.0,8.0,1.0,2.13,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.13,12.5,0.0,0.0
33,6010,Ivete da Silveira,19.0,9.0,1.0,2.22,11.11,1.0,2.0,11.11,1.0,2.13,11.11,1.0,2.08,11.11,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4770,Izalci Lucas,266.0,48.0,1.0,2.04,2.08,0.0,0.0,0.0,1.0,2.04,2.08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,Jader Barbalho,84.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6340,Jaime Bagattoli,9.0,7.0,1.0,2.33,14.29,1.0,2.22,14.29,1.0,2.27,14.29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.33,14.29,0.0,0.0
37,581,Jaques Wagner,238.0,17.0,1.0,2.13,5.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.13,5.88,1.0,2.22,,0.0,0.0,1.0,2.13,5.88,5.88,0.0
38,4531,Jayme Campos,245.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,2.22,5.88,0.0,0.0,0.0,11.76,1.0
39,5895,Jorge Kajuru,271.0,39.0,1.0,2.22,2.56,0.0,0.0,0.0,1.0,2.22,2.56,0.0,0.0,0.0,1.0,2.08,,2.33,2.56,2.0,4.44,5.13,2.56,1.0
40,6342,Jorge Seif,12.0,14.0,1.0,2.04,7.14,1.0,2.0,7.14,1.0,2.04,7.14,1.0,2.0,7.14,1.0,2.0,,2.27,7.14,1.0,2.04,7.14,7.14,1.0
41,6369,Jussara Lima,24.0,18.0,0.0,0.0,0.0,1.0,2.13,5.56,1.0,2.22,5.56,1.0,2.13,5.56,1.0,2.13,,0.0,0.0,0.0,0.0,0.0,5.56,0.0
42,4811,Laércio Oliveira,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.04,,0.0,0.0,0.0,0.0,0.0,11.11,0.0
43,5979,Leila Barros,272.0,36.0,2.0,4.0,5.56,1.0,2.0,2.78,2.0,4.08,5.56,1.0,2.0,2.78,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,5926,Lucas Barreto,56.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.33,6.67,0.0,0.0
45,1186,Luis Carlos Heinze,112.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.13,3.45,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,631,Magno Malta,172.0,19.0,2.0,4.0,10.53,1.0,2.0,5.26,1.0,2.0,5.26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,5376,Mara Gabrilli,221.0,33.0,2.0,4.44,6.06,3.0,6.25,9.09,1.0,2.04,3.03,2.0,4.35,6.06,1.0,2.13,,2.22,3.03,0.0,0.0,0.0,3.03,1.0
48,742,Marcelo Castro,83.0,21.0,1.0,2.0,4.76,0.0,0.0,0.0,1.0,2.0,4.76,0.0,0.0,0.0,2.0,4.44,,4.88,9.52,1.0,2.0,4.76,9.52,2.0
49,285,Marcio Bittar,45.0,7.0,1.0,2.04,14.29,0.0,0.0,0.0,1.0,2.08,14.29,1.0,2.08,14.29,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5422,Marcos Rogério,86.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.08,,0.0,0.0,0.0,0.0,0.0,11.11,0.0
51,5942,Marcos do Val,133.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,4.44,25.0,0.0,0.0,0.0,25.0,2.0
52,6304,Margareth Buzetti,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,,2.56,5.88,1.0,2.7,5.88,5.88,1.0
53,6027,Mecias de Jesus,156.0,65.0,2.0,4.17,3.08,1.0,2.08,1.54,3.0,6.38,4.62,1.0,2.04,1.54,4.0,8.33,,7.69,4.62,1.0,2.08,1.54,6.15,3.0
54,5985,Nelsinho Trad,159.0,28.0,0.0,0.0,0.0,1.0,2.22,3.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.04,,0.0,0.0,1.0,2.44,3.57,3.57,0.0
55,5525,Omar Aziz,71.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.08,16.67,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,5924,Oriovisto Guimarães,124.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.13,,4.76,8.33,1.0,2.04,4.17,4.17,2.0
57,5523,Otto Alencar,212.0,24.0,2.0,4.0,8.33,2.0,4.26,8.33,3.0,6.38,12.5,2.0,4.35,8.33,2.0,4.17,,2.22,4.17,0.0,0.0,0.0,8.33,1.0
58,825,Paulo Paim,1169.0,56.0,2.0,4.76,3.57,1.0,2.13,1.79,2.0,4.65,3.57,3.0,7.14,5.36,1.0,2.13,,2.22,1.79,2.0,4.76,3.57,1.79,1.0
59,5502,Plínio Valério,111.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,5386,Professora Dorinha Seabra,49.0,37.0,2.0,5.41,5.41,2.0,5.0,5.41,3.0,7.89,8.11,2.0,4.76,5.41,1.0,2.44,,9.09,8.11,1.0,2.7,2.7,2.7,3.0
61,5012,Randolfe Rodrigues,541.0,29.0,1.0,2.38,3.45,2.0,4.55,6.9,0.0,0.0,0.0,1.0,2.33,3.45,0.0,0.0,,0.0,0.0,1.0,2.38,3.45,0.0,0.0
62,70,Renan Calheiros,97.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,5905,Rodrigo Cunha,170.0,21.0,0.0,0.0,0.0,1.0,2.33,4.76,1.0,2.17,4.76,2.0,4.35,9.52,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,5732,Rodrigo Pacheco,61.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,4694,Rogerio Marinho,20.0,22.0,0.0,0.0,0.0,1.0,2.22,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.33,4.55,1.0,2.08,4.55,0.0,1.0
66,5352,Rogério Carvalho,351.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.38,,0.0,0.0,1.0,2.08,4.0,4.0,0.0
67,5322,Romário,242.0,20.0,0.0,0.0,0.0,1.0,2.63,5.0,2.0,4.26,10.0,2.0,5.26,10.0,0.0,0.0,,0.0,0.0,1.0,2.08,5.0,0.0,0.0
68,6331,Sergio Moro,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.04,,2.38,10.0,0.0,0.0,0.0,10.0,1.0
69,5988,Soraya Thronicke,144.0,32.0,1.0,2.0,3.12,1.0,2.17,3.12,3.0,6.0,9.38,2.0,4.0,6.25,1.0,2.08,,2.17,3.12,1.0,2.0,3.12,3.12,1.0
70,5959,Styvenson Valentim,179.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.22,11.11,0.0,0.0
71,4560,Sérgio Petecão,103.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,2.17,9.09,0.0,0.0,0.0,9.09,1.0
72,6338,Teresa Leitão,51.0,47.0,1.0,2.22,2.13,0.0,0.0,0.0,3.0,6.38,6.38,2.0,4.26,4.26,4.0,8.33,,4.44,4.26,3.0,6.67,6.38,8.51,2.0
73,5736,Tereza Cristina,14.0,16.0,3.0,6.38,18.75,0.0,0.0,0.0,3.0,6.67,18.75,2.0,4.44,12.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,5899,Vanderlan Cardoso,85.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.04,,2.33,4.76,0.0,0.0,0.0,4.76,1.0
75,5748,Veneziano Vital do Rêgo,291.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.57,2.0,4.0,7.14,0.0,0.0,,0.0,0.0,1.0,2.0,3.57,0.0,0.0
76,1173,Wellington Fagundes,207.0,7.0,0.0,0.0,0.0,1.0,2.04,14.29,2.0,4.17,28.57,1.0,2.08,14.29,2.0,4.17,,0.0,0.0,1.0,2.0,14.29,28.57,0.0
77,5411,Weverton,203.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.5,0.0
78,5070,Wilder Morais,116.0,8.0,1.0,2.17,12.5,1.0,2.08,12.5,1.0,2.08,12.5,1.0,2.0,12.5,1.0,2.04,,0.0,0.0,0.0,0.0,0.0,12.5,0.0
79,5783,Zenaide Maia,305.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.65,,2.5,1.85,1.0,2.5,1.85,3.7,1.0
80,3806,Zequinha Marinho,151.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.17,4.0,1.0,2.13,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
